BASE_YM,MDCL_TOID_CODE,MDCL_TOID_NM,MENU_LGLS_CODE,MENU_LGLS_NM,MENU_MDCL_CODE,MENU_MDCL_NM,MLE_Y20_BELO_SELG_AMNT,MLE_Y20_SELG_AMNT,MLE_Y30_SELG_AMNT,MLE_Y40_SELG_AMNT,MLE_Y50_SELG_AMNT,MLE_Y60_ANM_SELG_AMNT,WO_Y20_BELO_SELG_AMNT,WO_Y20_SELG_AMNT,WO_Y30_SELG_AMNT,WO_Y40_SELG_AMNT,WO_Y50_SELG_AMNT,WO_Y60_ANM_SELG_AMNT,AGEGRP_SEX_TOT_SELG_AMNT,MLE_Y20_BELO_USE_NCAS,MLE_Y20_USE_NCAS,MLE_Y30_USE_NCAS,MLE_Y40_USE_NCAS,MLE_Y50_USE_NCAS,MLE_Y60_ANM_USE_NCAS,WO_Y20_BELO_USE_NCAS,WO_Y20_USE_NCAS,WO_Y30_USE_NCAS,WO_Y40_USE_NCAS,WO_Y50_USE_NCAS,WO_Y60_ANM_USE_NCAS
202402,Q13,커피/음료,C,죽류,C02,야채/채소죽류,,83000,270600,502500,1963100,3421400,,40000,686960,999500,3725250,5653700,,,11,52,79,313,559,,8,131,170,615,979
202312,Q05,부페,A,밥류,A12,일반밥류,930500,2759900,1963600,2146975,2247100,1234500,121000,904988,571552,1099000,997900,459000,4121000,936,2767,1900,2001,2089,1133,128,898,561,1055,943,449
202312,Q01,간이주점,M,만두류,M03,육류만두류,,3759601,6600400,4015169,2897000,321000,,2067400,1286800,744800,532900,124000,,,521,746,553,404,52,,275,172,117,82,16
202403,Q15,한식,F,볶음류,F03,육류볶음류,2656200,63261396,132035511,169867184,214941103,168288539,363000,32812588,55512695,68646178,87646714,55529461,151632493,268,5931,11396,14353,18060,13865,36,2937,4749,5768,7252,4353
202403,Q11,제과/제빵/떡/케익,X,빙과류,X01,아이스크림류,,715200,1664150,2041473,1064850,577400,99000,3125700,2446010,2211049,1118800,722000,,,123,331,472,230,128,12,511,488,483,237,221
202405,Q07,양식,A,밥류,A09,볶음밥류,373400,14441128,26738422,26904704,20878050,7052541,1377900,22107306,24463015,24487757,22273824,6651898,26731614,35,1167,2207,2337,1825,631,101,1671,1909,2028,1819,550
202404,Q06,분식,B,면류,B13,칼국수류,7986000,132115125,289041858,412112968,518973555,614765072,3691200,133278051,231923158,310128170,403477213,467438207,2203877600,884,13882,29781,43141,55756,66318,416,13796,23811,32998,43304,51011
202405,Q06,분식,B,면류,B09,수제비류,56500,5960800,21415700,36644500,49425300,51296000,68000,9194000,20897900,33275700,48775500,49916604,27189000,8,721,2527,4420,6009,6245,8,1118,2465,4111,6000,6124
202309,Q10,일식/수산물,C,죽류,C01,수산물죽류,,1303000,6620350,12513000,18138000,18713150,,1421000,5338900,6873000,10284300,8954171,,,87,479,943,1444,1504,,88,377,484,744,672
202406,Q15,한식,M,만두류,M03,육류만두류,483000,26194980,69283767,83912668,90403642,79151881,65000,15869271,34933706,42460964,54731615,54643001,76901995,83,4365,11349,13813,14830,12518,11,2573,5548,6916,8715,8450
202308,Q01,간이주점,B,면류,B15,파스타/스파게티류,,9904200,13129447,5291575,3193700,,59500,17738521,8838437,2994000,1165100,,,,746,886,392,212,,5,1256,637,229,104,
202402,Q10,일식/수산물,H,찜류,H01,수산물찜류,,16203254,157915273,295246646,534867076,541398226,,17286453,78482275,164480712,343349286,407359633,58316000,,417,3259,6662,12905,15049,,418,1993,4080,9441,12068
202312,Q13,커피/음료,T,빵/과자류,T07,발효빵류,,148800,688434,875500,2122932,1786490,,353671,1209036,2117208,4790013,2493643,,,24,106,148,336,295,,58,216,367,775,412
202406,Q15,한식,B,면류,B15,파스타/스파게티류,65000,5431922,10860449,7489130,4432597,1081100,78000,12942449,12124367,7991037,7514709,2664750,,5,316,600,467,270,65,6,760,680,511,455,156
202404,Q15,한식,Y,추가/사리,Y01,추가/사리,463500,14462612,32257720,43128986,52918637,41535361,68700,8406223,15696547,20441327,23761998,17381526,55233901,265,7462,14084,17971,21338,15858,40,4340,6515,8158,9145,6096
202403,Q02,고기요리,E,구이류,E03,육류구이류,46070529,2983401345,6993051836,9067762115,10161448623,8803879721,28215001,2063692042,3531120557,4149206979,4932948229,4452437798,30036174808,3904,204295,419998,556953,617133,508215,2491,134456,211432,265430,305871,263753
202402,Q01,간이주점,L,전/부침류,L02,야채전/부침류,,25891673,36432789,28540204,32013500,7823650,,22004178,16778023,10386226,10231300,791800,,,1572,2129,1637,1943,492,,1313,959,599,634,48
202403,Q07,양식,A,밥류,A09,볶음밥류,329000,18093151,27491993,27197455,20609508,7373687,500300,24836416,26283289,25444912,22315685,6881135,23400561,31,1478,2240,2414,1843,673,41,1892,2069,2178,1898,585
202401,Q01,간이주점,G,튀김류,G02,야채/채소튀김류,42000,48397290,47072166,37725849,29990653,8284227,,40451272,21617308,13144715,11076500,1515500,,4,4525,4402,3588,2929,755,,4009,2121,1393,1104,157
202310,Q15,한식,E,구이류,E01,수산물구이류,55000,19814435,86745117,150784296,240374149,269905975,99000,18463500,59207000,93169744,160033200,169931229,7396000,6,1554,5400,9462,15005,16418,11,1424,3821,6012,9953,9996
202308,Q06,분식,M,만두류,M02,야채/채소만두류,16000,1358600,4484300,7110100,7881300,7267900,,737800,2356107,4463555,5778942,5843200,,24,344,915,1612,1422,1054,,251,657,1463,1260,871
202404,Q11,제과/제빵/떡/케익,T,빵/과자류,T07,발효빵류,,226180,2680873,5052054,8262850,9268641,24000,2626190,8365128,10186196,14740890,11243001,,,45,512,938,1457,1615,5,492,1566,1901,2727,1998
202312,Q03,닭/오리요리,E,구이류,E01,수산물구이류,43000,2534100,10646600,27257837,41470120,28170030,,614700,4052500,14066612,16263585,12700900,,4,186,756,1922,2943,2004,,43,275,1002,1154,889
202404,Q13,커피/음료,G,튀김류,G02,야채/채소튀김류,12000,277000,518400,633300,426080,156720,10000,468000,829120,978500,514460,194800,,12,61,126,152,113,47,4,95,185,248,136,44
202312,Q04,별식/퓨전요리,L,전/부침류,L04,김치전류,,,,,,,,,,40000,,,,,,,,,,,,,4,,
202309,Q11,제과/제빵/떡/케익,T,빵/과자류,T34,페이스트리/파이류,41600,7140002,20380482,22508538,21347029,12210527,183800,21603301,31975013,29433310,27438579,12686753,32345977,18,1864,5215,5739,4941,2727,56,5730,8194,7237,6493,2850
202310,Q15,한식,H,찜류,H01,수산물찜류,,2548000,14892900,30411300,64639010,71629250,,3824143,11334100,22747500,52659932,65420563,,,77,443,833,1982,2349,,145,359,677,1694,2232
202309,Q13,커피/음료,A,밥류,A04,덮밥류,36000,414600,1414000,962100,813000,277100,29000,1044200,871400,726800,1262830,651600,,4,52,192,158,132,51,7,132,159,134,198,109
202402,Q04,별식/퓨전요리,E,구이류,E03,육류구이류,1068000,18180164,48234975,74280896,64578623,46035559,231000,20129395,36784204,46223191,40166182,26595666,25199000,68,1224,3174,5587,4650,3143,18,1246,2339,3657,2860,2005
202403,Q06,분식,V,주류,V03,맥주류,,8265938,22563843,22240794,25667633,15850204,,6394900,10219813,10208303,12240043,5421903,,,1592,4455,4588,5444,3464,,1289,2054,2196,2602,1173
202311,Q07,양식,B,면류,B01,국수류,,562000,1769300,2463900,1717300,861000,,417100,870000,1344600,961000,425000,,,65,221,309,238,112,,45,103,170,129,69
202312,Q13,커피/음료,T,빵/과자류,T26,쿠키류,205100,10951557,21993524,20806391,20831869,13916811,1258016,36014089,38293985,34343263,27596787,13194076,71342155,71,3623,7261,6990,6933,4819,412,11299,12395,11439,9291,4744
202309,Q12,중식,L,전/부침류,L02,야채전/부침류,,20000,63000,134500,17000,,16000,168000,46000,214500,87000,,,,10,13,61,10,,8,33,21,85,22,
202401,Q12,중식,G,튀김류,G03,육류튀김류,6424600,167614012,362349846,505212359,441010269,316131589,10899441,147771322,208708583,300031828,250353898,203086735,2126946644,430,10389,20274,27258,23731,16236,934,10823,12568,17703,14148,10649
202406,Q12,중식,E,구이류,E03,육류구이류,4218200,48307229,63560642,77367041,57559955,32554570,11586917,83458133,61203568,73111806,40307735,16354992,297790844,1253,13190,13444,16686,11363,3080,3786,24484,15392,20575,9795,2401
202402,Q05,부페,A,밥류,A12,일반밥류,435000,2677388,1893000,2012000,2078000,1636462,22000,689000,677000,1027500,923000,1227000,2598000,429,2695,1863,1854,1988,1080,22,695,648,976,895,499
202309,Q01,간이주점,V,주류,V05,소주류,3093500,1097951024,1015182251,759612608,587035161,211836181,1797500,580050515,316513334,240528620,196056903,79430672,907950381,625,218927,201051,154675,121108,43874,360,113002,61586,48601,39943,16204
202309,Q03,닭/오리요리,A,밥류,A05,도시락류,,154000,257500,510500,397000,120000,,,84000,138500,156000,55000,,,33,55,110,83,24,,,17,29,32,11
202311,Q06,분식,F,볶음류,F03,육류볶음류,352500,8011100,7896000,9101000,10188200,4802000,154000,5656000,4540500,4044500,5938500,2521000,33712000,35,657,681,771,848,420,11,461,373,327,486,211
202311,Q11,제과/제빵/떡/케익,T,빵/과자류,T32,토스트류,,272240,1539614,1195047,1375410,655746,,1740800,2471494,2369054,1432600,694900,,,88,274,290,287,91,,235,398,512,352,130
202405,Q10,일식/수산물,N,회류,N01,수산물생회류,4126400,329638471,900159459,1261570173,1789909004,1744601563,995000,249689652,441762005,530236026,778581799,710068709,583472941,249,13224,48775,94405,133071,167335,66,8258,27189,39716,69401,70657
202312,Q07,양식,F,볶음류,F06,떡볶이류,,1686600,3566170,5523700,3755119,1048100,201000,4815000,4900570,6207092,3392890,340100,,,128,312,602,354,73,6,293,346,561,312,35
202310,Q02,고기요리,G,튀김류,G03,육류튀김류,105400,9762341,19202345,12999600,7331750,1407000,84000,8678232,6714500,4303173,3028200,218000,,8,497,976,742,441,85,7,401,338,249,174,13
202310,Q02,고기요리,M,만두류,M03,육류만두류,,620500,1985500,2150600,2853296,1819980,,667000,707500,623450,1111943,918000,,,102,321,362,482,298,,106,115,109,169,94
202401,Q15,한식,W,음료류,W13,탄산음료류,1062700,40185887,56959729,50461023,51305016,35427037,322546,26417058,28072525,25402351,26021889,16321541,117315604,534,19313,27589,24941,25463,17612,152,12162,13187,12471,12770,8018
202405,Q02,고기요리,A,밥류,A09,볶음밥류,790200,58544746,83082101,80258003,74218107,41726984,351100,49459924,49655037,40509682,39763286,20790193,178750790,259,16050,23003,24213,23861,14219,115,13344,13812,12531,13041,7328
202307,Q15,한식,T,빵/과자류,T33,팥빵류,,,204815,319212,487694,773066,,34600,268100,355706,826583,781827,,,,70,106,199,328,,17,110,134,275,329
202402,Q06,분식,T,빵/과자류,T02,과자류,326500,2197500,2371300,3601400,1858800,1385500,502500,3224336,2989250,4895700,1880300,595400,5839000,110,618,690,1103,527,319,178,934,913,1426,554,175
202401,Q02,고기요리,G,튀김류,G04,가스류,,1585150,4047000,5262482,4239460,2520650,,1148700,2756510,2570910,2169788,1409340,,,166,358,534,420,263,,108,265,262,226,149
202404,Q06,분식,M,만두류,M04,김치만두류,,2437100,8906700,11246100,14277600,9696100,,2419200,6634100,9798600,13553100,9403000,3445500,,411,1407,1742,2179,1386,,387,1003,1504,1999,1343
202405,Q06,분식,S,떡류,S01,일반떡류,11700,22500,864100,2237100,2518500,3652500,21600,358540,914400,2455600,2328300,2697500,,9,11,112,266,287,341,16,70,116,322,267,271
202405,Q10,일식/수산물,Z,기타,Z01,기타,26438024,1138804288,2879011230,3720798018,4497493189,4385632490,27511110,1047179915,1722740354,2001007078,2563917041,2489065874,6400949997,2698,101610,184838,217885,230668,227146,3071,95369,124089,134606,152404,139219
202405,Q07,양식,Q,김치류,Q01,배추김치류,,176000,602500,348500,94000,,,377100,682600,139000,87000,,,,15,70,48,12,,,44,75,22,8,
202308,Q13,커피/음료,V,주류,V05,소주류,,5440100,4913400,5981300,7406898,3000195,,2728900,1553700,1759000,1451700,150500,,,1133,1035,1263,1423,617,,534,321,401,300,33
202307,Q05,부페,D,국/탕/찌개/전골류,D07,찌개류,1148500,8344956,8554656,9627843,10271498,6273562,169000,3510249,4353068,6355816,6235972,3759107,29506124,373,2528,2609,2954,3128,1928,56,1076,1346,1975,1931,1188
202312,Q01,간이주점,K,적/꼬치류,K03,육류꼬치류,1400600,128307389,212144261,187556779,136254282,35210347,408000,80363172,84582825,73165998,51504580,14460478,48501093,158,10343,17911,16445,12653,3166,73,6984,7395,6574,4547,1390
202309,Q06,분식,B,면류,B13,칼국수류,7345100,118288150,243699900,350978700,440493500,453551342,3263400,128392550,197093897,264638259,330940259,331576245,1676544767,857,13229,26559,38900,49657,50995,384,14176,21537,29645,37444,37800
202404,Q13,커피/음료,T,빵/과자류,T21,찐빵류,,,52000,99000,303000,184000,,44000,70000,237000,414000,399000,,,,10,18,48,30,,11,16,39,67,62
202312,Q12,중식,A,밥류,A04,덮밥류,186500,25588545,57035753,74265892,96230829,87180194,36000,16379717,21746964,30397403,36595655,35702643,27269669,25,2701,5766,7605,9738,8253,4,1673,2154,3016,3612,3299
202310,Q11,제과/제빵/떡/케익,A,밥류,A03,김밥류,,658900,2293200,3788200,3185300,1661300,,1102600,2030800,2312000,2692700,1101800,,,175,630,1119,1014,540,,299,585,709,847,347
202311,Q15,한식,G,튀김류,G01,수산물튀김류,16000,1358800,5590900,9746000,16219223,24702414,,1270500,2974110,4518704,8700500,12790000,,4,194,605,943,1456,2064,,173,339,479,824,1091
202404,Q10,일식/수산물,P,냉채/무침류,P01,수산물무침류,,865000,7846500,15590000,33097840,43476909,,414000,5070000,11352000,26198400,30866000,,,28,333,748,2052,1934,,23,207,470,1123,1270
202310,Q14,패스트푸드,T,빵/과자류,T11,샌드위치류,,1834525,7253413,9657358,5769514,2714314,,11095437,16400425,14644851,13181430,3741412,936600,,253,898,1468,865,368,,1236,2087,2025,1811,564
202405,Q04,별식/퓨전요리,D,국/탕/찌개/전골류,D08,탕류,399000,13100600,23727300,34043700,49615700,49916000,272400,9913066,10930400,14033000,18744500,18064900,2610000,39,1360,2506,2937,4233,4283,79,637,1241,1278,1620,1466
202311,Q01,간이주점,A,밥류,A04,덮밥류,102000,8232000,7401200,3953800,3674300,406000,323000,9382649,4824000,2407800,2288700,429000,,9,877,678,387,359,27,25,923,447,220,245,33
202309,Q15,한식,A,밥류,A14,초밥류,,4003958,3697378,2727660,3915510,2998550,,4141460,3348151,1592898,2317474,1530000,,,254,296,286,309,288,,302,235,161,182,141
202405,Q01,간이주점,A,밥류,A12,일반밥류,74000,10757417,8752374,9137928,10519491,6332800,22000,5484797,3933417,4492041,4748980,2982800,379050,58,8766,5769,6340,7602,4250,20,4006,2159,2691,2771,1446
202401,Q15,한식,J,데침/삶음류,J03,육류삶음류,84000,37798263,145167800,208330085,289887520,272626617,20000,21648310,59982405,70352100,104849007,91165462,33074700,10,2242,7384,10277,12900,11243,4,1314,3212,3840,5093,4146
202405,Q14,패스트푸드,W,음료류,W04,쉐이크류,17500,669900,1115566,867217,357500,,,750600,919329,486800,295000,,,7,121,167,141,58,,,137,129,69,44,
202307,Q05,부페,V,주류,V05,소주류,,21171942,41146102,63089385,68724496,51819430,,6224251,13227688,22338663,24190246,19042192,,,4411,8587,13271,14513,10878,,1280,2777,4631,5075,3962
202401,Q06,분식,M,만두류,M03,육류만두류,286200,16238799,42943373,61326639,65671170,54990277,194500,13099700,27893018,43824283,52577562,47163942,65313900,60,2842,7267,10426,10791,8116,49,2268,4676,7579,8360,6743
202405,Q16,휴게소/대형업체,A,밥류,A03,김밥류,,37500,54200,131800,183900,139200,,102300,58500,79700,169391,,,,12,26,61,62,36,,31,22,25,56,
202402,Q02,고기요리,W,음료류,W11,차류,,362350,376800,584700,510200,169500,12000,455700,377500,264900,472900,166000,,,83,96,201,178,45,4,69,68,88,103,33
202403,Q01,간이주점,T,빵/과자류,T03,도넛류,,333300,341700,,41500,,,388000,80800,,,,,,46,42,,11,,,60,17,,,
202406,Q15,한식,B,면류,B08,소바류,163300,7555520,15688600,19885691,24848800,29873600,85500,9763220,14667200,15464000,18538900,17648748,30630340,15,770,1554,1955,2437,3079,9,948,1431,1544,1875,1861
202308,Q10,일식/수산물,V,주류,V10,혼성주류,,737000,4024000,7017968,8495976,4177000,,597659,1346000,1185000,2830000,381000,,,76,294,498,597,271,,64,94,83,193,28
202405,Q10,일식/수산물,D,국/탕/찌개/전골류,D06,전골류,,7304800,31192033,53567328,67569900,48221680,71600,8368600,16952805,21936300,29440133,21102500,,,194,778,1304,1908,1736,4,244,448,584,958,1012
202403,Q05,부페,B,면류,B01,국수류,,235000,444900,389178,1164900,912500,,78000,,168400,191000,82000,,,38,69,63,166,108,,13,,27,23,10
202401,Q02,고기요리,B,면류,B13,칼국수류,,1788800,5753598,7993262,11341219,8559228,,1805100,4421148,4839332,6656872,6110500,,,228,711,1045,1429,1091,,222,546,599,831,734
202402,Q15,한식,B,면류,B01,국수류,1726200,23914070,34815935,46553751,60211713,43638554,384000,18849211,19228948,26249447,30240312,20676449,72341816,202,2895,4353,5874,7739,5575,49,2195,2407,3236,3807,2554
202401,Q02,고기요리,E,구이류,E01,수산물구이류,,2416820,10362600,19442960,26769121,23334070,,1693800,6554100,7841230,14030593,12199270,,,196,766,1464,1933,1593,,111,481,583,1101,910
202308,Q01,간이주점,B,면류,B04,동남아식면류,,542900,292700,126000,203500,,,303600,102000,312000,262000,,,,65,35,17,29,,,39,14,45,40,
202312,Q01,간이주점,B,면류,B15,파스타/스파게티류,,14408052,17228951,6656010,3052911,268700,526900,22648696,11284557,4380200,2061100,94000,,,995,1118,450,205,19,38,1529,733,292,147,5
202406,Q08,유흥주점,T,빵/과자류,T36,피자류,,1874745,4396389,1906700,563800,142000,,2255607,1594100,409700,457300,,,,101,221,102,30,7,,123,83,18,21,
202402,Q08,유흥주점,T,빵/과자류,T36,피자류,,2721476,3990216,1172700,194733,,,2857574,1617727,156200,141600,134000,,,138,231,60,8,,,154,80,8,9,6
202401,Q07,양식,V,주류,V09,칵테일류,,8159796,8809971,3572600,2103300,46000,54000,13549148,7256277,3538500,2491520,105900,,,861,894,355,224,5,6,1490,780,396,258,11
202312,Q10,일식/수산물,D,국/탕/찌개/전골류,D02,나베류,84000,20224350,32318149,17554828,9966000,2236900,619500,39115792,25914443,10848222,7304115,2179000,21839900,8,1029,1465,768,485,115,42,2007,1285,578,437,112
202307,Q01,간이주점,W,음료류,W11,차류,63500,2455100,2361700,1593000,1369100,560900,10000,3972900,1257900,776445,988698,615250,1082000,19,525,508,468,342,85,5,783,333,227,195,91
202401,Q13,커피/음료,V,주류,V03,맥주류,36000,3412500,8583111,10105079,21836864,9011200,,4133220,5070220,5126777,7067682,2220908,,12,562,1437,1748,3759,1621,,673,797,889,1196,397
202309,Q10,일식/수산물,F,볶음류,F03,육류볶음류,138000,17302000,27888100,32372200,40922148,35921500,216500,22017100,19310600,18910159,28203900,23654000,81094600,11,1261,2130,2441,3140,2829,16,1572,1414,1463,2206,1950
202403,Q08,유흥주점,B,면류,B15,파스타/스파게티류,,2148844,5819560,1388649,604672,,,8055567,6718406,1339000,1401200,184600,,,119,320,70,30,,,456,372,76,79,15
202405,Q07,양식,B,면류,B12,쫄면류,,1308500,4316400,6335214,5361000,2096968,,1024500,3524000,6383612,6711487,2596300,1241100,,152,496,743,626,236,,114,415,771,786,310
202402,Q06,분식,K,적/꼬치류,K03,육류꼬치류,25500,386200,1178940,2010020,898340,196990,42000,821020,1586344,3501582,740200,140200,1664912,13,133,346,634,303,47,14,270,523,1212,231,36
202406,Q10,일식/수산물,U,과일/샐러드류,U02,샐러드류,,123900,726400,498700,403500,0,,768600,320200,493000,548150,134600,,,10,106,91,57,37,,75,57,69,77,43
202404,Q13,커피/음료,A,밥류,A04,덮밥류,45000,565600,1173060,791100,1081905,1008330,,659820,1180515,1238140,1501210,217150,,5,87,149,119,159,162,,83,193,204,232,41
202403,Q10,일식/수산물,A,밥류,A01,국밥류,446607,1480000,10252500,24372253,32911343,37027965,,875000,5673500,11142065,18786723,18631500,,43,158,1061,2444,3361,3778,,97,589,1143,1899,1896
202310,Q01,간이주점,A,밥류,A15,컵밥류,,,,,,,,,,,,,,,,,,,,,,,,,
202307,Q01,간이주점,K,적/꼬치류,K03,육류꼬치류,699293,101607156,182541829,172107129,126608950,34634667,130200,68878653,76033545,70227680,49124549,11554000,7826000,78,8094,15315,14805,11270,3170,27,5660,6813,6331,4438,974
202310,Q14,패스트푸드,S,떡류,S01,일반떡류,6000,28500,78000,45350,84350,152800,,133000,80000,114000,166150,187150,456000,4,19,28,18,28,69,,41,32,42,58,85
202404,Q09,음식배달서비스,D,국/탕/찌개/전골류,D07,찌개류,,,,,,,,,,16000,,,,,,,,,,,,,4,,
202404,Q01,간이주점,D,국/탕/찌개/전골류,D07,찌개류,80000,52038455,34034732,20879000,20520550,6907200,,24425600,8638034,5071800,4523813,1372000,,4,3297,2204,1697,1773,701,,1525,659,449,466,185
202403,Q04,별식/퓨전요리,A,밥류,A12,일반밥류,508000,6262499,7804117,7330860,7898912,6361700,9000,1570400,2533861,3267603,3515360,3153700,6392500,509,6175,7209,6880,7112,4955,9,1464,2074,2795,2773,2099
202406,Q07,양식,Y,추가/사리,Y01,추가/사리,134500,1632054,3063323,2719264,1788197,728695,62400,1442700,1717011,2220450,1820838,467680,1830454,77,660,1334,1167,851,343,33,538,768,986,757,282
202404,Q11,제과/제빵/떡/케익,B,면류,B13,칼국수류,,189500,626500,966500,1711000,1821000,,180500,738500,1057000,1324000,1365000,,,22,68,106,185,186,,20,80,110,147,145
202309,Q14,패스트푸드,T,빵/과자류,T26,쿠키류,,127082,386050,253400,302300,22000,8400,562030,1087085,722200,441062,161200,,,48,104,68,88,4,5,195,329,202,118,18
202309,Q01,간이주점,A,밥류,A09,볶음밥류,117000,9687857,8694954,6674964,5137800,1155000,90000,7311890,3618903,2783971,2083183,538000,,21,1567,1456,1191,990,223,6,1101,562,494,404,151
202308,Q05,부페,E,구이류,E03,육류구이류,1158200,20677131,29524740,34705588,30608622,18364149,106000,9728700,11385615,15064110,17074008,5961775,15261800,77,1335,1709,2064,1810,1044,8,775,733,888,985,389
202309,Q15,한식,L,전/부침류,L03,육전류,116000,6865600,24515694,29850909,27437640,19844860,,5316277,12046400,14579585,16119400,11588500,14792500,4,500,1592,2079,2046,1423,,421,856,1126,1235,928
202311,Q01,간이주점,T,빵/과자류,T02,과자류,,6356980,10752700,10524385,5746893,393294,,5114164,4101980,3367100,1182200,,,,889,1318,1287,726,56,,586,424,437,148,
202403,Q08,유흥주점,U,과일/샐러드류,U01,과일류,,26476895,49522147,25497142,32918789,13944600,,10249005,9492077,4018354,4149993,422000,,,1158,2057,955,954,372,,431,387,164,135,14
202404,Q08,유흥주점,X,빙과류,X01,아이스크림류,,146000,419900,38500,,,,274000,204400,,,,,,19,77,5,,,,29,23,,,
202308,Q11,제과/제빵/떡/케익,D,국/탕/찌개/전골류,D08,탕류,,118400,132600,1019400,1606300,269000,48700,235100,96200,489700,549700,311500,,,12,11,77,135,27,6,25,9,39,49,25
202402,Q04,별식/퓨전요리,A,밥류,A04,덮밥류,49300,4780925,11980656,8299154,7182587,3502000,237600,11485385,16082303,6878387,6061100,3100800,,4,314,696,507,425,223,19,691,880,397,363,246
202401,Q04,별식/퓨전요리,B,면류,B13,칼국수류,158000,16679266,29528132,26843330,36986430,34340566,446000,26812166,28933232,23448232,30717966,26727100,36950100,19,1734,3081,2787,3788,3483,52,2946,3067,2489,3214,2806
202309,Q02,고기요리,B,면류,B05,라멘류,,200800,673000,750820,419000,,,78000,185000,192000,93000,,,,31,107,113,70,,,12,30,26,15,
202312,Q04,별식/퓨전요리,V,주류,V07,와인류,,66000,336877,302000,185000,,,20000,353000,36000,,,,,6,21,23,6,,,4,29,6,,
202402,Q03,닭/오리요리,B,면류,B06,라면류,,1174200,2032200,2519189,2034800,171900,18000,1421100,938400,886200,564300,112700,462500,,269,527,708,554,64,4,222,195,251,162,43
202401,Q01,간이주점,O,장/장아찌류,O01,수산물장류,,64000,,,,,,288000,,,,,,,4,,,,,,18,,,,
202310,Q03,닭/오리요리,T,빵/과자류,T33,팥빵류,,,21000,21000,85000,68000,,,,14000,80000,,,,,25,42,56,24,,,,4,43,
202406,Q01,간이주점,T,빵/과자류,T25,케이크류,,130000,155500,,,,,296500,213100,33950,12000,,,,17,24,,,,,42,30,5,4,
202311,Q13,커피/음료,A,밥류,A09,볶음밥류,42500,517830,1317400,790000,798500,184000,10000,642700,1667163,1228400,785100,209800,,5,104,184,135,161,37,4,78,166,121,77,25
